:START_ID(User),:END_ID(Tweet),:TYPE
1383470294,930045485087383552,Post
930045485087383552,1383470294,Posted
3808785683,930045484382683137,Post
930045484382683137,3808785683,Posted
323666150,930045483786973184,Post
930045483786973184,323666150,Posted
19140291,930045483610968064,Post
930045483610968064,19140291,Posted
924665631957573674,930045483606831104,Post
930045483606831104,924665631957573674,Posted
1260483728,930045481744568320,Post
930045481744568320,1260483728,Posted
4231123599,930045481698422786,Post
930045481698422786,4231123599,Posted
698971629595058176,930045481635471360,Post
930045481635471360,698971629595058176,Posted
139783157,930045481518026757,Post
930045481518026757,139783157,Posted
1449796752,930045481400586240,Post
930045481400586240,1449796752,Posted
2387611561,930045480880541697,Post
930045480880541697,2387611561,Posted
2847559466,930045480838533121,Post
930045480838533121,2847559466,Posted
885279633981288448,930045480595312640,Post
930045480595312640,885279633981288448,Posted
4469284167,930045480255524864,Post
930045480255524864,4469284167,Posted
849641585390133248,930045478653214720,Post
930045478653214720,849641585390133248,Posted
2444434430,930045477697015809,Post
930045477697015809,2444434430,Posted
434844084,930045477491433478,Post
930045477491433478,434844084,Posted
867417808698605569,930045477046722561,Post
930045477046722561,867417808698605569,Posted
71416512,930045476879196160,Post
930045476879196160,71416512,Posted
349982829,930045475486621697,Post
930045475486621697,349982829,Posted
724528652176744448,930045475125854208,Post
930045475125854208,724528652176744448,Posted
386048655,930045475046113283,Post
930045475046113283,386048655,Posted
549616790,930045474865680384,Post
930045474865680384,549616790,Posted
2914757822,930045474853318656,Post
930045474853318656,2914757822,Posted
22946956,930045474819600384,Post
930045474819600384,22946956,Posted
2778418115,930045474270310400,Post
930045474270310400,2778418115,Posted
907575037829423104,930045474052104193,Post
930045474052104193,907575037829423104,Posted
925544395100667904,930045473787965440,Post
930045473787965440,925544395100667904,Posted
715663819805233154,930045473695596544,Post
930045473695596544,715663819805233154,Posted
1553908496,930045473121095680,Post
930045473121095680,1553908496,Posted
929793875006443520,930045472147935232,Post
930045472147935232,929793875006443520,Posted
1278638228,930045471757950976,Post
930045471757950976,1278638228,Posted
130938557,930045471086825473,Post
930045471086825473,130938557,Posted
188841757,930045470994522112,Post
930045470994522112,188841757,Posted
874917390,930045470461906944,Post
930045470461906944,874917390,Posted
301791092,930045468628828160,Post
930045468628828160,301791092,Posted
3377726770,930045467739721729,Post
930045467739721729,3377726770,Posted
917572853750431746,930045466724786177,Post
930045466724786177,917572853750431746,Posted
474054440,930045466145972225,Post
930045466145972225,474054440,Posted
15923351,930045466074480640,Post
